원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status,한자,word_grade
광역,넓은 구역이나 범위.,복지,넓은 구역이나 범위.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=31427",gloss,low,review,廣域,고급
단가,물건 한 단위의 가격.,,물건 한 단위의 가격.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=42005",gloss,low,review,單價,고급
신생아,태어난 지 얼마 되지 않은 아이.,행정,태어난 지 얼마 되지 않은 아이.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=65621",gloss,low,review,新生兒,고급
신설,새로 만듦,,"설비, 시설, 제도 등을 새로 만들거나 설치함.",,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=14067",substitute,none,active,新設,고급
정산,계산해서 맞춤,금융·세무,꼼꼼하고 자세하게 계산함. 또는 그런 계산.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=76412",substitute,none,active,精算,고급
소견,어떤 일이나 사물을 보고 느낀 생각이나 의견.,보건·의료,어떤 일이나 사물을 보고 느낀 생각이나 의견.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=64311",gloss,low,review,所見,고급
시술,병이나 상처 등을 낫게 하기 위하여 의학적인 처치를 함. 또는 그런 일.,,병이나 상처 등을 낫게 하기 위하여 의학적인 처치를 함. 또는 그런 일.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=85262",gloss,low,review,施術,고급
양상,사물이나 현상의 모양이나 상태.,,사물이나 현상의 모양이나 상태.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=90578",gloss,low,review,樣相,고급
욕구,무엇을 얻거나 무슨 일을 하기를 바라는 마음.,,무엇을 얻거나 무슨 일을 하기를 바라는 마음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). origin='欲求/慾求'은 순수 한자가 아니라 한자 컬럼을 비움. gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=68928",gloss,low,review,,고급
융자,은행 등의 금융 기관에서 돈을 빌려줌. 또는 그 돈.,,은행 등의 금융 기관에서 돈을 빌려줌. 또는 그 돈.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70903",gloss,low,review,融資,고급
임대료,"남에게 물건이나 건물, 땅 등을 빌려준 대가로 받는 돈.",금융·세무,"남에게 물건이나 건물, 땅 등을 빌려준 대가로 받는 돈.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=73112",gloss,low,review,賃貸料,고급
재구성,한 번 구성하였던 것을 다시 새롭게 구성함.,법률,한 번 구성하였던 것을 다시 새롭게 구성함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74458",gloss,low,review,再構成,고급
총괄,각각 떨어져 있는 것들을 한데 모아서 묶음.,복지,각각 떨어져 있는 것들을 한데 모아서 묶음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=80352",gloss,low,review,總括,고급
태아,어머니 배 속에서 자라고 있는 아이.,,어머니 배 속에서 자라고 있는 아이.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=49277",gloss,low,review,胎兒,고급
기한,정해진 날짜,,미리 정해 놓은 시기.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=38488",substitute,none,active,期限,고급
무주택,자기 소유의 집이 없음.,금융·세무,자기 소유의 집이 없음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=55143",gloss,low,review,無住宅,고급
물량,물건의 양.,보건·의료,물건의 양.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=56199",gloss,low,review,物量,고급
법인,나라의 법에 의하여 권리나 의무를 가지는 기관이나 단체.,행정,나라의 법에 의하여 권리나 의무를 가지는 기관이나 단체.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=58935",gloss,low,review,法人,고급
수당,정해진 봉급 외에 추가로 따로 받는 보수.,,정해진 봉급 외에 추가로 따로 받는 보수.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=64554",gloss,low,review,手當,고급
심신,마음과 몸.,복지,마음과 몸.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=66153",gloss,low,review,心身,고급
의결,어떤 일에 대해 의논하여 결정함. 또는 그런 결정.,,어떤 일에 대해 의논하여 결정함. 또는 그런 결정.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=71636",gloss,low,review,議決,고급
주민등록등본,주민 등록 원본의 전부를 복사한 증명 서류.,복지,주민 등록 원본의 전부를 복사한 증명 서류.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. 질의어와 다른 표기('주민 등록 등본')로 매칭됨 — 확인 필요. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=75184",gloss,low,review,住民登錄謄本,고급
청구,달라고 함,법률,다른 사람에게 돈이나 물건 등을 달라고 요구함.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=77860",substitute,none,active,請求,고급
학대,정신적으로나 육체적으로 몹시 괴롭히고 못살게 굶.,,정신적으로나 육체적으로 몹시 괴롭히고 못살게 굶.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=84197",gloss,low,review,虐待,고급
현행,지금,복지,현재 행해지고 있음. 또는 행하고 있음.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=86897",substitute,none,active,現行,고급
활성화,사회나 조직 등의 기능이 활발함. 또는 그러한 기능을 활발하게 함.,복지,사회나 조직 등의 기능이 활발함. 또는 그러한 기능을 활발하게 함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=87098",gloss,low,review,活性化,고급
거동,몸을 움직임. 또는 그러한 태도나 행동.,복지,몸을 움직임. 또는 그러한 태도나 행동.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=26392",gloss,low,review,擧動,고급
고지서,국가나 공공 기관에서 납입해야 하는 금액에 대한 정보를 알려 주는 문서.,금융·세무,국가나 공공 기관에서 납입해야 하는 금액에 대한 정보를 알려 주는 문서.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=27246",gloss,low,review,告知書,고급
대출금리,은행에서 빌려준 돈에 대한 이자의 비율.,금융·세무,은행에서 빌려준 돈에 대한 이자의 비율.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. 질의어와 다른 표기('대출 금리')로 매칭됨 — 확인 필요. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601874",gloss,low,review,貸出金利,고급
명칭,사람이나 사물 등을 가리켜 부르는 이름.,행정,사람이나 사물 등을 가리켜 부르는 이름.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=16132",gloss,low,review,名稱,고급
미납,내지 않음,보건·의료,내야 할 돈을 아직 내지 못함.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=57732",substitute,none,active,未納,고급
분만,아이를 낳음.,복지,아이를 낳음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=60569",gloss,low,review,分娩,고급
사산,임신한 지 사 개월이 지난 후 죽은 아이를 낳음.,보건·의료,임신한 지 사 개월이 지난 후 죽은 아이를 낳음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=61253",gloss,low,review,死産,고급
상한,"위와 아래로 일정한 범위를 이루고 있을 때, 위쪽의 한계.",,"위와 아래로 일정한 범위를 이루고 있을 때, 위쪽의 한계.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=600892",gloss,low,review,上限,고급
실적,어떤 일이나 분야에서 실제로 이룬 업적.,,어떤 일이나 분야에서 실제로 이룬 업적.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=65940",gloss,low,review,實績,고급
안건,여럿이 모여 의논하거나 살펴보아야 할 항목이나 내용.,,여럿이 모여 의논하거나 살펴보아야 할 항목이나 내용.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=66377",gloss,low,review,案件,고급
양육,아이를 보살펴서 자라게 함.,,아이를 보살펴서 자라게 함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=90641",gloss,low,review,養育,고급
위임장,어떤 일을 다른 사람에게 책임지도록 맡긴다는 내용을 적은 문서.,법률,어떤 일을 다른 사람에게 책임지도록 맡긴다는 내용을 적은 문서.,,2026-08-30 검수: substitute 승격 반려 — 독자가 직접 발급·제출해야 하는 서류의 공식 명칭 — 원어를 지우면 무엇을 준비할지 알 수 없음. gloss 유지 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=69648",gloss,low,active,委任狀,고급
육아,어린아이를 돌보고 기름.,,어린아이를 돌보고 기름.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=71009",gloss,low,review,育兒,고급
의뢰,부탁함,,남에게 어떤 일을 부탁하여 맡김.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=71663",substitute,none,active,依賴,고급
임대,"물건이나 건물, 땅 등을 남에게 빌려줌.",금융·세무,"물건이나 건물, 땅 등을 남에게 빌려줌.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=73110",gloss,low,review,賃貸,고급
임산부,아기를 밴 여자나 아기를 갓 낳은 여자.,보건·의료,아기를 밴 여자나 아기를 갓 낳은 여자.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=72637",gloss,low,review,妊産婦,고급
적립금,모아서 쌓아 둔 돈.,금융·세무,모아서 쌓아 둔 돈.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74587",gloss,low,review,積立金,고급
적합성,어떤 일이나 조건에 꼭 들어맞아 알맞은 성질.,행정,어떤 일이나 조건에 꼭 들어맞아 알맞은 성질.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74174",gloss,low,review,適合性,고급
전액,액수의 전부.,금융·세무,액수의 전부.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74721",gloss,low,review,全額,고급
제반,여러,법률,어떤 것과 관련된 모든 것.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=75681",substitute,none,active,諸般,고급
증진,기운이나 세력 등이 점점 더 늘어 가고 나아감.,보건·의료,기운이나 세력 등이 점점 더 늘어 가고 나아감.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=91650",gloss,low,review,增進,고급
집행,"계획, 명령, 재판 등의 내용을 실제로 행함.",,"계획, 명령, 재판 등의 내용을 실제로 행함.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=77683",gloss,low,review,執行,고급
필요시,꼭 있어야 할 때.,행정,꼭 있어야 할 때.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=86287",gloss,low,review,必要時,고급
호흡기,사람이나 동물의 몸에서 숨을 쉬는 일을 맡은 기관.,보건·의료,사람이나 동물의 몸에서 숨을 쉬는 일을 맡은 기관.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=88333",gloss,low,review,呼吸器,고급
